sent_id,group_id,item_in_set,category,phenomenon,subtype,comparison_types,condition,tense,negation,matrix_subj,matrix_type,matrix_verb,embedded_type,complementizer,grammaticality,sentence,predictions (log prob),notes
1,GRP001,sent1,syntax,CP + Q,,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,think,declarative,that,grammatical,John thinks that it is raining.,,
2,GRP001,sent2,syntax,CP + Q,,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,think,interrogative,whether,ungrammatical,John thinks whether it is raining.,,
3,GRP001,sent3,syntax,CP + Q,,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,know,declarative,that,grammatical,John knows that it is raining.,,
4,GRP001,sent4,syntax,CP + Q,,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,know,interrogative,whether,grammatical,John knows whether it is raining.,,
5,GRP001,sent5,syntax,CP + Q,,"embedded_type, matrix_verb",control,present,no,third_person,declarative,control,declarative,that,ungrammatical,John wonders that it is raining.,,to make sure that it's not an overall perference for declarative CP
6,GRP001,sent6,syntax,CP + Q,,"embedded_type, matrix_verb",control,present,no,third_person,declarative,control,interrogative,whether,grammatical,John wonders whether it is raining.,,
7,GRP001,sent1,syntax,CP + Q,,"embedded_type, matrix_verb",critical,present,no,first_person,declarative,think,declarative,that,grammatical,I think that it is raining.,,
8,GRP001,sent2,syntax,CP + Q,,"embedded_type, matrix_verb",critical,present,no,first_person,declarative,think,polar_question,whether,ungrammatical,I think whether it is raining.,,
9,GRP001,sent3,syntax,CP + Q,,"embedded_type, matrix_verb",critical,present,no,first_person,declarative,know,declarative,that,grammatical,I know that it is raining.,,
10,GRP001,sent4,syntax,CP + Q,,"embedded_type, matrix_verb",critical,present,no,first_person,declarative,know,polar_question,whether,grammatical,I know whether it is raining.,,
11,GRP001,sent5,syntax,CP + Q,,"embedded_type, matrix_verb",control,present,no,first_person,declarative,control,declarative,that,ungrammatical,I wonder that it is raining.,,
12,GRP001,sent6,syntax,CP + Q,,"embedded_type, matrix_verb",control,present,no,first_person,declarative,control,polar_question,whether,grammatical,I wonder whether it is raining.,,
49,GRP002,sent1,syntax,NP complement,NP vs CP copula deletion,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,think,declarative,none,grammatical,John thinks the rumor is about Mary.,,
50,GRP002,sent2,syntax,NP complement,NP vs CP copula deletion,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,think,NP,NA,ungrammatical,John thinks the rumor about Mary.,,
51,GRP002,sent3,syntax,NP complement,NP vs CP copula deletion,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,know,declarative,none,grammatical,John knows the rumor is about Mary.,,
52,GRP002,sent4,syntax,NP complement,NP vs CP copula deletion,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,know,NP,NA,grammatical,John knows the rumor about Mary.,,
53,GRP002,sent5,syntax,NP complement,NP vs CP copula deletion,"embedded_type, matrix_verb",control,present,no,third_person,declarative,control,declarative,none,ungrammatical,John starts the rumor is about Mary.,,
54,GRP002,sent6,syntax,NP complement,NP vs CP copula deletion,"embedded_type, matrix_verb",control,present,no,third_person,declarative,control,NP,NA,grammatical,John starts the rumor about Mary.,,
55,GRP003,sent1,syntax,NP complement,NP vs. new sentence,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,think,declarative,none,grammatical,John thinks the rumor is false.,,
56,GRP003,sent2,syntax,NP complement,NP vs. new sentence,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,think,NP,NA,ungrammatical,John thinks the rumor. It is false.,,
57,GRP003,sent3,syntax,NP complement,NP vs. new sentence,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,know,declarative,none,grammatical,John knows the rumor is false.,,
58,GRP003,sent4,syntax,NP complement,NP vs. new sentence,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,know,NP,NA,grammatical,John knows the rumor. It is false.,,
59,GRP003,sent5,syntax,NP complement,NP vs. new sentence,"embedded_type, matrix_verb",control,present,no,third_person,declarative,control,declarative,none,ungrammatical,John starts the rumor is false.,,
60,GRP003,sent6,syntax,NP complement,NP vs. new sentence,"embedded_type, matrix_verb",control,present,no,third_person,declarative,control,NP,NA,grammatical,John starts the rumor. It is false.,,
61,GRP004,sent1,syntax,NP complement,NP vs. PP,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,think,PP,NA,grammatical,John thinks about the rumor.,,
62,GRP004,sent2,syntax,NP complement,NP vs. PP,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,think,NP,NA,ungrammatical,John thinks the rumor.,,
63,GRP004,sent3,syntax,NP complement,NP vs. PP,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,know,PP,NA,grammatical,John knows about the rumor.,,
64,GRP004,sent4,syntax,NP complement,NP vs. PP,"embedded_type, matrix_verb",critical,present,no,third_person,declarative,know,NP,NA,grammatical,John knows the rumor.,,
65,GRP004,sent5,syntax,NP complement,NP vs. PP,"embedded_type, matrix_verb",control,present,no,third_person,declarative,control,PP,NA,ungrammatical,John starts about the rumor. ,,
66,GRP004,sent6,syntax,NP complement,NP vs. PP,"embedded_type, matrix_verb",control,present,no,third_person,declarative,control,NP,NA,grammatical,John starts the rumor. ,6-4>5-3; 6-5>3-4,
67,GRP005,sent1,syntax,Factive island,,"matrix_type, matrix_verb",critical,present,no,third_person,wh_question,know,declarative,none,ungrammatical,Where does John know the keys are?,,
68,GRP005,sent2,syntax,Factive island,,"matrix_type, matrix_verb",critical,present,no,third_person,wh_question,think,declarative,none,grammatical,Where does John think the keys are?,,
69,GRP005,sent3,syntax,Factive island,,"matrix_type, matrix_verb",critical,present,no,third_person,polar_question,know,interrogative,wh-phrase,grammatical,Does John know where the keys are?,,
,GRP005,sent4,syntax,Factive island,,"matrix_type, matrix_verb",critical,present,no,third_person,polar_question,think,interrogative,wh-phrase,ungrammatical,Does John think where the keys are?,,
,GRP006,sent1,syntax,Ellipsis,Standalone,"embedded_type, matrix_verb",critical,present,no,first_person,declarative,think,so,NA,grammatical,I think so.,,
,GRP006,sent2,syntax,Ellipsis,Standalone,"embedded_type, matrix_verb",critical,present,no,first_person,declarative,think,none,NA,ungrammatical,I think.,,
,GRP006,sent3,syntax,Ellipsis,Standalone,"embedded_type, matrix_verb",critical,present,no,first_person,declarative,know,none,NA,grammatical,I know.,,
,GRP006,sent4,syntax,Ellipsis,Standalone,"embedded_type, matrix_verb",critical,present,no,first_person,declarative,know,so,NA,ungrammatical,I know so.,,
,GRP006,sent5,syntax,Ellipsis,Standalone,"embedded_type, matrix_verb",control,present,no,first_person,declarative,control,none,NA,grammatical,I guess.,,
,GRP006,sent6,syntax,Ellipsis,Standalone,"embedded_type, matrix_verb",control,present,no,first_person,declarative,control,so,NA,grammatical,I guess so.,,
,GRP007,sent1,,Ellipsis,Response to polar Q,"negation, matrix_verb",critical,present,no,first_person,declarative,think,so,NA,grammatical,A: Is it raining outside? B: I think so.,,
,GRP007,sent2,,Ellipsis,Response to polar Q,"negation, matrix_verb",critical,present,no,first_person,declarative,know,none,NA,ungrammatical,A: Is it raining outside? B: I know.,,
,GRP007,sent3,,Ellipsis,Response to polar Q,"negation, matrix_verb",control,present,no,first_person,declarative,control,none,NA,grammatical,A: Is it raining outside? B: I guess.,,
